date,total_trades,winning_trades,losing_trades,gross_pnl,estimated_cost,net_pnl
2026-03-05,7,4,3,4372.5,700,3672.5
2026-03-06,8,1,7,-2650.0,800,-3450.0
2026-03-09,10,5,5,-2290.0,1000,-3290.0
2026-03-10,11,2,9,-3127.5,1100,-4227.5
2026-03-11,8,5,3,2282.5,800,1482.5
2026-03-18,7,5,2,1172.5,700,472.5
2026-03-19,16,7,9,367.5,1600,-1232.5
2026-03-20,8,2,6,242.5,800,-557.5
