date,total_trades,winning_trades,losing_trades,gross_pnl,estimated_cost,net_pnl
2026-03-30,4,2,2,95.0,206.89,-111.89
2026-04-01,10,4,6,-1695.0,1078.83,-2773.83
2026-04-02,9,6,3,3020.0,961.45,2058.55
2026-04-06,2,1,1,-35.0,211.75,-246.75
