date,total_trades,winning_trades,losing_trades,gross_pnl,estimated_cost,net_pnl
2026-03-30,4,2,2,-342.5,206.8,-549.3
2026-04-01,9,2,7,-1635.0,925.68,-2560.68
2026-04-02,9,5,4,1585.0,994.58,590.42
2026-04-06,2,1,1,140.0,211.75,-71.75
