2026-03-03 09:21:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:21:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:21:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:21:05 | evaluator | STEP 3: mtm start
2026-03-03 09:21:05 | evaluator | STEP 3: mtm end
2026-03-03 09:21:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:21:05 | evaluator | CYCLE END
2026-03-03 09:21:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:21:05 | evaluator | 
2026-03-03 09:22:05 | evaluator | 
2026-03-03 09:22:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:22:05 | evaluator | CYCLE START
2026-03-03 09:22:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:22:05 | evaluator | STEP 1: updater start
2026-03-03 09:22:05 | spot_updater | API status 400
2026-03-03 09:22:05 | spot_updater | Candle not yet available: 2026-03-03 09:21:00
2026-03-03 09:22:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:22:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:22:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:22:05 | evaluator | STEP 3: mtm start
2026-03-03 09:22:05 | evaluator | STEP 3: mtm end
2026-03-03 09:22:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:22:05 | evaluator | CYCLE END
2026-03-03 09:22:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:22:05 | evaluator | 
2026-03-03 09:23:05 | evaluator | 
2026-03-03 09:23:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:23:05 | evaluator | CYCLE START
2026-03-03 09:23:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:23:05 | evaluator | STEP 1: updater start
2026-03-03 09:23:05 | spot_updater | API status 400
2026-03-03 09:23:05 | spot_updater | Candle not yet available: 2026-03-03 09:22:00
2026-03-03 09:23:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:23:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:23:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:23:05 | evaluator | STEP 3: mtm start
2026-03-03 09:23:05 | evaluator | STEP 3: mtm end
2026-03-03 09:23:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:23:05 | evaluator | CYCLE END
2026-03-03 09:23:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:23:05 | evaluator | 
2026-03-03 09:24:05 | evaluator | 
2026-03-03 09:24:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:24:05 | evaluator | CYCLE START
2026-03-03 09:24:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:24:05 | evaluator | STEP 1: updater start
2026-03-03 09:24:05 | spot_updater | API status 400
2026-03-03 09:24:05 | spot_updater | Candle not yet available: 2026-03-03 09:23:00
2026-03-03 09:24:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:24:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:24:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:24:05 | evaluator | STEP 3: mtm start
2026-03-03 09:24:05 | evaluator | STEP 3: mtm end
2026-03-03 09:24:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:24:05 | evaluator | CYCLE END
2026-03-03 09:24:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:24:05 | evaluator | 
2026-03-03 09:25:05 | evaluator | 
2026-03-03 09:25:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:25:05 | evaluator | CYCLE START
2026-03-03 09:25:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:25:05 | evaluator | STEP 1: updater start
2026-03-03 09:25:05 | spot_updater | API status 400
2026-03-03 09:25:05 | spot_updater | Candle not yet available: 2026-03-03 09:24:00
2026-03-03 09:25:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:25:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:25:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:25:05 | evaluator | STEP 3: mtm start
2026-03-03 09:25:05 | evaluator | STEP 3: mtm end
2026-03-03 09:25:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:25:05 | evaluator | CYCLE END
2026-03-03 09:25:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:25:05 | evaluator | 
2026-03-03 09:26:05 | evaluator | 
2026-03-03 09:26:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:26:05 | evaluator | CYCLE START
2026-03-03 09:26:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:26:05 | evaluator | STEP 1: updater start
2026-03-03 09:26:05 | spot_updater | API status 400
2026-03-03 09:26:05 | spot_updater | Candle not yet available: 2026-03-03 09:25:00
2026-03-03 09:26:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:26:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:26:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:26:05 | evaluator | STEP 3: mtm start
2026-03-03 09:26:05 | evaluator | STEP 3: mtm end
2026-03-03 09:26:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:26:05 | evaluator | CYCLE END
2026-03-03 09:26:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:26:05 | evaluator | 
2026-03-03 09:27:05 | evaluator | 
2026-03-03 09:27:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:27:05 | evaluator | CYCLE START
2026-03-03 09:27:05 | evaluator | ------------------------------------------------------------
